id,Start_minutes,End_minutes,X,Y,Team,Action,Half,Player_Name,next_player,next_action,next_x,next_y,event_id,next_team,next_event_id,xt_value,Date,Game,League,Manager,Match_ID,Season,Opposition_Team,Shots,SoT,Goals_scored,Goals_conceded,Accurate passes,Inaccurate passes,Passes,xG,Unnamed: 31,XG,Team.1,Unnamed: 34
2856,78.27,78.6,5.2,34,Lamontville Golden Arrows,Accurate passes,2nd half,Nkosingiphile Gumede,Trevor Mathiane,Accurate passes,10.4,49.6,1580,Lamontville Golden Arrows,1581,0.00036689,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
2858,78.28,78.62,10.4,49.6,Lamontville Golden Arrows,Accurate passes,2nd half,Trevor Mathiane,Themba Mantshiyane,Accurate passes,23.2,67.5,1581,Lamontville Golden Arrows,1582,-0.00132891,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
2859,78.3,78.63,23.2,67.5,Lamontville Golden Arrows,Accurate passes,2nd half,Themba Mantshiyane,Sera Motebang,Accurate passes,36.3,67.4,1582,Lamontville Golden Arrows,1583,0.00281413,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
2860,78.33,78.67,36.3,67.4,Lamontville Golden Arrows,Accurate passes,2nd half,Sera Motebang,Velemseni Ndwandwe,Accurate passes,33.7,60.9,1583,Lamontville Golden Arrows,1584,-0.00148608,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
2861,78.37,78.7,33.7,60.9,Lamontville Golden Arrows,Accurate passes,2nd half,Velemseni Ndwandwe,Themba Mantshiyane,Accurate passes,19.5,66.1,1584,Lamontville Golden Arrows,1585,-0.00132805,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
2862,78.4,78.73,19.5,66.1,Lamontville Golden Arrows,Accurate passes,2nd half,Themba Mantshiyane,Trevor Mathiane,Accurate passes,9.7,47.1,1585,Lamontville Golden Arrows,1586,0.00132891,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
2863,78.45,78.78,9.7,47.1,Lamontville Golden Arrows,Accurate passes,2nd half,Trevor Mathiane,Pule Mmodi,Challenges lost,42.2,33.6,1586,Lamontville Golden Arrows,1587,0.00284901,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
2871,78.52,78.85,72.4,42,Mamelodi Sundowns,Inaccurate passes,2nd half,Neo Maema,Neo Maema,Lost balls,74.2,35.3,1592,Mamelodi Sundowns,1593,0,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Manqoba Mngqithi/Rulani Mokeona,174,2021/22,Lamontville Golden Arrows,0,0,0,0,0,1,1,,,,,
2875,78.52,78.85,30.8,32.7,Lamontville Golden Arrows,Accurate passes,2nd half,Velemseni Ndwandwe,Nqobeko Dlamini,Positional attacks,34.1,38.6,1594,Lamontville Golden Arrows,1595,0,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
2878,78.55,78.88,34.1,38.6,Lamontville Golden Arrows,Accurate passes,2nd half,Nqobeko Dlamini,Pule Mmodi,Positional attacks,47.5,40.6,1595,Lamontville Golden Arrows,1596,0.00352222,12/04/2022,Mamelodi Sundowns vs Lamontville Golden Arrows - 6:0,PSL,Lehlohonolo Seema,174,2021/22,Mamelodi Sundowns,0,0,0,0,1,0,1,,,,,
